78.04,64.69
85.02,79.84
81.26,81.41
85.49,88.28
88.88,87.16
90.8,88.12
89.28,88.44
86,90.31
85.3,88.02
90.53,90.78
91.77,90.16
90.51,90.62
88.6,90.94
91.55,93.28
91.91,92.34
89.52,91.09
92.66,90.47
91.24,90.75
92.01,91.56
92.23,91.72
93.14,92.97
92.38,92.97
92.3,91.25
90.56,92.81
91.72,95.93
92.3,93.28
92.97,92.66
94.43,94.37
93.46,91.72
95.31,90.47
93.67,93.44
91.55,92.81
94.13,92.97
94.18,92.97
93.48,94.69
95.34,94.42
94.11,92.34
94.96,94.69
94.86,94.69
95.33,93.75
95.26,95
94.53,94.84
95.07,94.53
95.2,93.59
95.63,94.53
93.67,94.85
93.27,95.18
94.78,94.22
95.81,95.94
95.73,93.91
96.24,96.88
95.77,93.91
93.17,94.88
94.34,94.69
93.92,95.94
95.66,95
95.23,94.84
95.33,95.45
96.68,95.47
96.09,96.88
96.83,96.56
97.35,96.25
95.81,95.47
96.65,96.45
94.15,95
96.79,95.31
96.81,95.16
96.92,97.03
97.02,97.81
95.79,95.16
96.73,96.7
97.38,96.56
96.84,96.56
96.76,97.03
97.07,95.94
96.83,95.63
96.75,97.19
93.41,97.03
96.83,96.25
95.66,96.09
95.96,96.25
97.05,95.47
97.53,98.43
98.01,97.66
97.58,97.5
97.42,98.28
97.93,97.03
97.99,97.8
97.96,96.88
97.96,97.19
97.18,98.28
96.89,96.88
97.85,96.25
97.67,97.97
98.13,98.28
97.78,97.81
97.37,98.91
97.78,97.03
97.29,97.19
96.87,97.03
96.56,97.66
97.93,97.03
97.61,97.66
97.72,95.31
97.43,97.5
98.12,97.66
97.42,97.8
97.59,97.5
97.37,97.66
98.09,98.28
98.15,97.81
98.41,97.97
97.85,98.91
98.56,98.44
98.47,98.91
97.53,97.5
98.47,98.27
98.37,98.75
98.58,98.12
97.69,97.8
98.2,97.97
98.07,97.97
98.6,98.59
98.37,98.75
98.47,98.91
96.79,97.82
98.13,97.5
98.41,98.28
98.34,97.97
98.58,98.76
98.47,98.28
98.76,97.34
98.18,97.5
98.28,97.34
98.41,98.91
98.61,98.28
98.25,98.91
97.32,97.52
97.62,98.12
97.88,97.97
98.15,97.03
98.31,98.59
98.58,96.72
98.68,98.44
98.66,98.59
97.91,98.12
98.18,97.34
98.53,99.06
98.31,98.59
98.79,97.81
98.37,97.82
98.66,98.91
98.77,98.59
98.79,98.91
98.55,97.81
98.61,98.9
98.29,98.44
98.8,98.28
98.5,99.22
98.05,98.12
98.42,97.97
98.6,99.22
98.47,99.22
98.45,98.59
98.85,98.75
98.39,98.59
98.37,98.28
98.64,97.81
98.45,98.74
98.61,98.91
98.28,97.97
98.53,98.28
98.48,98.12
98.87,99.22
98.53,97.66
99,99.22
98.48,99.38
98.74,98.91
98.69,97.81
98.45,99.53
98.55,98.28
98.52,97.96
98.42,98.91
98.12,99.06
98.95,99.22
99.09,99.06
98.84,98.13
98.68,98.59
98.2,99.06
98.55,97.19
98.79,98.75
98.77,99.38
98.48,98.28
98.82,99.06
98.68,98.91
98.69,99.38
98.8,98.75
98.76,99.22
98.76,99.38
98.48,99.53
